company_name,intern_role,stipend,location_mode,skills_required,degrees_eligible
HCL,Mobile App Development Intern,20000,Gujarat,"NodeJS, Excel, MATLAB, Java, JavaScript",B.Tech
IBM,UI/UX Design Intern,15000,Uttar Pradesh,"NodeJS, Tableau, MATLAB, C++, Kubernetes","MSc, BSc, BE"
Google,Business Analyst Intern,20000,Kerala,"Kubernetes, Azure, JavaScript, Power BI, Docker","B.Tech, MBA, MSc"
Infosys,Digital Marketing Intern,5000,Assam,"Azure, Docker, MATLAB",MSc
Amazon,UI/UX Design Intern,30000,Chandigarh,"Java, Kubernetes","BE, BSc"
Cognizant,Business Analyst Intern,10000,Uttar Pradesh,"MATLAB, HTML/CSS","B.Tech, MSc"
Byjus,Embedded Systems Intern,10000,Tamil Nadu,"Linux, ReactJS","MSc, B.Tech"
Accenture,Business Analyst Intern,10000,Rajasthan,"C++, Linux, Tableau","MBA, BSc"
IBM,Cybersecurity Intern,15000,Telangana,"Power BI, Tableau, AWS","BE, MBA, MSc"
Cognizant,Machine Learning Intern,20000,West Bengal,"Excel, Docker, Azure, Keras, JavaScript","BSc, MSc, MBA"
Amazon,UI/UX Design Intern,20000,Remote,"Linux, Java, ReactJS, Kubernetes","B.Tech, MBA, BSc"
TCS,Cloud Engineering Intern,20000,Assam,"Python, SolidWorks, Keras, SQL","BE, B.Tech"
TCS,Mobile App Development Intern,20000,Telangana,"JavaScript, ReactJS, SolidWorks","BE, BSc"
Capgemini,Mobile App Development Intern,25000,Gujarat,"HTML/CSS, SolidWorks, Docker","MBA, B.Tech"
Byjus,Web Development Intern,15000,Odisha,"Azure, PyTorch","MBA, BSc, B.Tech"
HCL,Web Development Intern,25000,Gujarat,"CAD, Azure, Tableau, MATLAB, ReactJS","MBA, B.Tech"
Tech Mahindra,Robotics Intern,10000,Kerala,"C++, TensorFlow, Excel","MBA, MSc, BE"
Microsoft,Business Analyst Intern,25000,Karnataka,"AWS, Tableau, PyTorch, Power BI","BSc, MBA, BE"
IBM,UI/UX Design Intern,25000,Gujarat,"CAD, MATLAB","MBA, BSc, MSc"
HCL,Digital Marketing Intern,5000,Kerala,"Java, CAD, C++, Power BI",MBA
Tech Mahindra,Robotics Intern,5000,Gujarat,"ReactJS, JavaScript, CAD, AWS","BE, MBA"
IBM,Cybersecurity Intern,20000,Punjab,"Azure, CAD, MATLAB, TensorFlow",BSc
Flipkart,Machine Learning Intern,15000,Maharashtra,"Tableau, Excel, NodeJS, JavaScript",BE
Wipro,Robotics Intern,25000,Madhya Pradesh,"Kubernetes, PyTorch, ReactJS","B.Tech, BSc, MBA"
Cognizant,Embedded Systems Intern,20000,Chandigarh,"Power BI, ReactJS, Linux, Keras, SQL",BSc
Capgemini,Data Science Intern,10000,Punjab,"Power BI, Excel, Azure, Python",BE
Amazon,Cloud Engineering Intern,30000,Karnataka,"SolidWorks, Azure, C++, PyTorch, Python",BSc
Wipro,Mobile App Development Intern,20000,Delhi,"SolidWorks, Kubernetes","MSc, BE, MBA"
Wipro,Embedded Systems Intern,30000,Andhra Pradesh,"JavaScript, Java","MSc, MBA"
IBM,Cybersecurity Intern,25000,Odisha,"HTML/CSS, CAD, ReactJS, NodeJS","BSc, BE, B.Tech"
